catid	name	totalpage	pmallid	hastype	items_p1	size
285	可爱	6	280		92	30034
286	二件套	6	280		48	14104
287	四件套	22	280		80	25695
291	腾讯产品	3	41	6|19|13|1|22|2|14	24	8458
292	母亲节	1	244	21	4	1516
296	5.0版	60	1	1	24	8714
297	所有标题栏	60	180	19	16	5648
298	5.0版	48	295	2|19|16	24	8381
299	宽屏（上侧）套装	76	280		96	31477
300	所有	1	295		0	159
302	建筑风景	1	41	1|14	11	3930
303	男性	35	1	1	16	5860
304	女性	30	1	1	16	5821
305	情侣	16	1	1	16	5858
306	孩童	13	1	1	16	5872
307	宠物	6	1	1	16	5806
308	其他	9	1	1	16	5820
309	黑白系	8	1	1	24	8245
310	暖色系	12	1	1	24	8103
311	冷色系	10	1	1	24	8315
312	男性	7	124	14	24	8286
313	女性	15	124	14	24	8256
314	情侣	8	124	14	24	8294
315	孩童	6	124	14	24	8157
316	其他	2	118	14	16	5411
317	其他	5	124	14	24	8330
318	黑白系	3	124	14	24	7906
319	暖色系	10	124	14	24	7757
320	冷色系	8	124	14	24	7906
321	男性	13	118	6	16	5418
322	女性	15	118	6	16	5396
323	宠物	7	118	6	16	5447
324	其他	4	118	6	24	8321
325	简洁	15	118	6	16	5619
326	半透明	9	118	6	16	5634
327	不透明	53	118	6	16	5628
328	黑白系	5	118	6	24	7858
329	暖色系	9	118	6	24	7879
330	冷色系	6	330	6	24	7882
331	男性	10	135	13	16	5590
332	女性	13	135	13	16	5586
333	宠物	9	135	13	16	5587
334	其他	6	135	13	16	5631
335	半透明	18	135	13	16	5620
336	不透明	52	135	13	16	5615
337	黑白系	6	135	13	24	7821
338	暖色系	10	135	13	24	7866
339	冷色系	6	135	13	24	7752
340	黑白系	7	180	19	24	8370
341	炫丽	10	180	19	24	8397
342	简洁	18	180	19	24	8385
343	可爱	8	180	19	24	8436
344	半透明	14	180	19	24	8410
345	不透明	32	180	19	24	8369
346	男性	7	280		91	29674
347	女性	9	280		93	30350
348	三件套	5	280		64	20146
349	生日	1	82	14|1	9	2913
350	其他	2	82	14|1	24	8175
351	男艺人	3	41	14|1|3	24	7881
352	女艺人	3	41	14|1|2|3	24	7837
353	蜘蛛侠	1	41	14|1	23	7583
354	功夫之王	1	41	1	6	2204
355	赤壁	1	41	14|1	4	1434
356	搞笑整蛊	3	249	22	24	7789
357	伤感	1	249	22	21	6828
361	相框6	1	235	127	8	2611
363	简洁	5	124	14	16	5586
364	限量版套装	1	280		36	11911
365	黄钻贵族专区	1	0		0	165
366	vip_skin	1	365	1	18	6114
367	vip_cartoon	1	365	14	15	5270
368	vip_guild	1	365	13	22	7046
369	vip_player	1	365	6	10	3696
370	vip_title	1	365	19	16	5274
371	vip_dec	2	365	16|2|22|5|4	24	8818
372	黑色	10	1	1	16	5858
373	白色	8	1	1	16	5828
374	蓝色	20	1	1	16	5859
375	绿色	11	1	1	16	5852
376	紫色	7	1	1	16	5835
377	黄色	9	1	1	16	5838
378	红色	7	1	1	16	5845
379	粉色	7	1	1	16	5850
380	黑色	6	124	14	16	5499
381	白色	7	124	14	16	5569
382	蓝色	14	124	14	16	5604
383	绿色	6	124	14	16	5585
384	紫色	6	124	14	16	5564
385	黄色	4	124	14	16	5574
386	红色	4	124	14	16	5581
387	粉色	4	124	14	16	5537
388	黑色	7	180	19	16	5596
389	白色	19	180	19	16	5641
390	蓝色	9	180	19	16	5644
391	绿色	4	180	19	16	5660
392	紫色	4	180	19	16	5666
393	黄色	7	180	19	16	5648
394	红色	6	180	19	16	5663
395	粉色	7	180	19	16	5662
396	黑色	6	118	6	16	5517
397	白色	14	118	6	16	5606
398	蓝色	10	118	6	16	5635
399	绿色	7	118	6	16	5635
400	紫色	5	118	6|18	16	5604
401	黄色	8	118	6	16	5638
402	红色	7	118	6	16	5526
403	粉色	10	118	6	16	5646
404	黑色	6	135	13	16	5610
405	白色	14	135	13	16	5615
406	蓝色	10	135	13	16	5620
407	绿色	7	135	13	16	5614
408	紫色	6	135	13	16	5631
409	黄色	8	135	13	16	5623
410	红色	8	135	13	16	5621
411	粉色	8	135	13	16	5614
413	自定义导航	8	135	13	18	5956
416	套装隐藏	10	280		77	23975
419	所有套装	97	280		92	30013
420	ys_ch_mj	1	365	1	10	3912
421	ys_ch_zs	2	365	16|22	16	5916
423	ys_cy_mh	1	365	1	16	6194
424	ys_cy_xz	2	365	1|14	16	6177
425	ys_cm_ka	2	365	2|5|6|4	16	5921
426	ys_cm_gx	3	365	2|4|5|6	16	5883
434	默认	1	41	1	1	478
435	五件套	15	280		96	31467
436	亲情	2	1	1	16	5856
438	爱情	5	1	1	16	5847
442	配饰	6	1	1	16	5666
443	汽车	2	1	1	16	5866
446	动漫	19	1	1	16	5848
448	四季	7	1	1	16	5837
450	酷炫	4	1	1	16	5875
451	校园	3	1	1	16	5868
452	商务	3	1	1	16	5855
453	中国风	3	1	1	16	5859
454	爱情	13	124	14	16	5564
455	亲情	2	124	14	16	5582
456	友情	8	124	14	16	5663
459	运动	3	124	14	16	5288
461	汽车	1	124	14	16	5657
464	动漫	60	124	14	16	5414
466	四季	6	124	14	16	5538
467	影视	8	124	14	16	5220
468	酷炫	7	124	14	16	5622
469	校园	3	124	14	16	5620
470	商务	2	124	14	16	5485
471	中国风	5	124	14	16	5546
472	爱情	4	280		88	28640
473	亲情	2	280		93	30380
474	友情	11	280		95	31160
475	美食	1	280		30	9926
476	军事	1	280		35	11492
477	运动	1	280		93	30387
478	配饰	3	280		66	20722
479	汽车	1	280		77	25194
480	宠物	1	280		12	4046
481	节日	1	280		64	21187
482	动漫	13	280		89	28945
483	游戏	1	280		0	130
484	四季	5	280		87	28265
485	影视	1	280		0	130
486	LOME风格	19	280		91	29643
487	校园	4	280		94	30727
488	商务	3	280		92	29988
489	中国风	2	280		95	31043
490	黑色	4	280		91	29622
491	白色	3	280		94	30654
492	蓝色	5	280		94	30768
493	绿色	3	280		96	31434
494	紫色	3	280		90	29430
495	黄色	3	280		93	30342
496	红色	2	280		75	23992
497	粉色	2	280		77	24716
498	爱情	4	118	6	16	5622
499	亲情	2	118	6	16	5630
505	汽车	2	118	6	16	5594
508	动漫	17	118	6	16	5576
510	四季	4	118	6	16	5503
512	LOME风格	2	118	6	16	5596
514	酷炫	3	118	6	16	5641
516	商务	4	118	6	16	5650
518	爱情	3	135	13	16	5608
519	亲情	2	135	13	16	5620
525	汽车	2	135	13	16	5611
528	动漫	6	135	13	16	5599
530	四季	2	135	13	16	5597
532	LOME风格	2	135	13	16	5619
534	商务	4	135	13	16	5631
536	爱情	15	180	19	16	5615
537	亲情	2	180	19	16	5663
543	汽车	2	180	19	16	5647
546	动漫	12	180	19	16	5645
548	四季	2	180	19	16	5608
550	LOME风格	1	180	19	16	5674
551	酷炫	8	180	19	16	5637
553	商务	3	180	19	16	5597
554	中国风	2	180	19	16	5649
578	影视	1	280		0	130
584	旅游	3	280		95	31146
585	人物	7	280		93	30350
586	人物	3	135	13	16	5617
587	人物	6	124	14	16	5526
588	人物	4	118	6	16	5637
589	人物	5	180	19	16	5658
590	人物	13	1	1	16	5844
596	高兴	4	280		94	30764
597	忧伤	2	280		95	31190
608	平静	7	280		91	29628
609	生气	1	280		0	130
620	寂寞	1	280		42	13830
621	奋斗	2	280		92	29972
632	ys_new_add	1	365	1|14	14	5092
678	颜色	1	280		0	130
679	套装图方向	1	280		0	136
680	情感	1	280		0	130
681	风格	1	280		0	130
682	主题	1	280		0	130
683	件数	1	280		0	130
